"DA_UID","Population","Neighbourhood","Cluster","CommunityArea"
"46111189",1296,"West Fort Garry Industrial","Fort Garry North","Fort Garry"
"46111191",423,"Waverley Heights","Fort Garry South","Fort Garry"
"46111192",2238,"Fairfield Park","Fort Garry South","Fort Garry"
"46111193",1207,"Richmond West","Fort Garry South","Fort Garry"
"46111194",588,"Royalwood","St. Boniface East","St. Boniface"
"46111195",1210,"Island Lakes","St. Boniface East","St. Boniface"
"46111196",660,"Royalwood","St. Boniface East","St. Boniface"
"46111197",722,"Dakota Crossing","St. Vital South","St. Vital"
"46111198",291,"Dakota Crossing","St. Vital South","St. Vital"
"46111199",2280,"Dakota Crossing","St. Vital South","St. Vital"
"46111202",748,"Island Lakes","St. Boniface East","St. Boniface"
"46111203",1475,"Royalwood","St. Boniface East","St. Boniface"
"46111204",1572,"Royalwood","St. Boniface East","St. Boniface"
"46111205",1773,"Island Lakes","St. Boniface East","St. Boniface"
"46111206",2712,"Island Lakes","St. Boniface East","St. Boniface"
"46111207",1509,"Fraipont","St. Boniface East","St. Boniface"
"46111210",7391,"Sage Creek","St. Boniface East","St. Boniface"
"46111211",31,"St. Vital Perimeter South","St. Vital South","St. Vital"
"46111212",428,"Island Lakes","St. Boniface East","St. Boniface"
"46111213",807,"Whyte Ridge","Fort Garry North","Fort Garry"
"46111214",384,"Whyte Ridge","Fort Garry North","Fort Garry"
"46111215",832,"Whyte Ridge","Fort Garry North","Fort Garry"
"46111217",489,"Whyte Ridge","Fort Garry North","Fort Garry"
"46111218",2849,"Dakota Crossing","St. Vital South","St. Vital"
"46111219",428,"Fraipont","St. Boniface East","St. Boniface"
"46111220",3435,"Rosser-Old Kildonan","Seven Oaks West","Seven Oaks"
"46111221",2664,"Amber Trails","Seven Oaks West","Seven Oaks"
"46111222",1416,"Amber Trails","Seven Oaks West","Seven Oaks"
"46111223",994,"Amber Trails","Seven Oaks West","Seven Oaks"
"46111224",747,"Amber Trails","Seven Oaks West","Seven Oaks"
"46111225",2002,"Tuxedo Industrial","Assiniboine South","Assiniboine South"
"46111226",1838,"Brockville","Fort Garry North","Fort Garry"
"46111227",862,"Tuxedo Industrial","Assiniboine South","Assiniboine South"
"46111228",973,"Linden Woods","Fort Garry North","Fort Garry"
"46111229",945,"Linden Woods","Fort Garry North","Fort Garry"
"46111230",399,"Rivergrove","Seven Oaks East","Seven Oaks"
"46111232",2343,"Rivergrove","Seven Oaks East","Seven Oaks"
"46111234",1017,"Riverbend","Seven Oaks East","Seven Oaks"
"46111237",420,"Canterbury Park","Transcona","Transcona"
"46111238",585,"Canterbury Park","Transcona","Transcona"
"46111239",588,"Canterbury Park","Transcona","Transcona"
"46111240",612,"Transcona North","Transcona","Transcona"
"46111241",4036,"Canterbury Park","Transcona","Transcona"
"46111243",582,"Canterbury Park","Transcona","Transcona"
"46111244",565,"Canterbury Park","Transcona","Transcona"
"46111245",481,"The Maples","Seven Oaks West","Seven Oaks"
"46111247",427,"The Maples","Seven Oaks West","Seven Oaks"
"46111249",1609,"Leila-McPhillips Triangle","Seven Oaks East","Seven Oaks"
"46111250",2099,"Kildonan Crossing","River East East","River East"
"46111251",5901,"Peguis","Transcona","Transcona"
"46111252",2020,"Grassie","River East East","River East"
"46111253",5276,"Peguis","Transcona","Transcona"
"46111254",2340,"Fairfield Park","Fort Garry South","Fort Garry"
"46111255",5076,"Bridgwater Forest","Fort Garry South","Fort Garry"
"46111256",7336,"South Pointe","Fort Garry South","Fort Garry"
"46111257",11365,"Bridgwater Trails","Fort Garry South","Fort Garry"
"46111258",744,"River Park South","St. Vital South","St. Vital"
"46111259",574,"River Park South","St. Vital South","St. Vital"
"46111260",526,"River Park South","St. Vital South","St. Vital"
"46111261",1363,"River Park South","St. Vital South","St. Vital"
"46111262",768,"Mission Industrial","St. Boniface East","St. Boniface"
"46111263",1891,"St. Boniface Industrial Park","St. Boniface East","St. Boniface"
"46111264",411,"Windsor Park","St. Boniface East","St. Boniface"
